date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:44:51	46073/46073	---M-Z	200	added ('OK')	text/html	etag:%22b3f9-65a15bdb-734169b1517df725;gz%22	https://cutesolution.com/html/webtech/index-2.html	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/index-2.html	(from )
18:44:52	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-97b505a0da59cd8a;gz%22	https://cutesolution.com/robots.txt		(from )
18:44:52	2388/2388	---M--	200	added ('OK')	image/png	etag:%22954-65a15bdb-10e98df21317bbfd;;;%22	https://cutesolution.com/html/webtech/assets/img/favicon.png	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/img/favicon.png	(from https://cutesolution.com/html/webtech/index-2.html)
18:44:53	232948/232948	---M-Z	200	added ('OK')	text/css	etag:%2238df4-65a15bdb-20c5a6a97a396023;gz%22	https://cutesolution.com/html/webtech/assets/css/bootstrap.min.css	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/css/bootstrap.min.css	(from https://cutesolution.com/html/webtech/index-2.html)
18:44:55	57997/57997	---M-Z	200	added ('OK')	text/css	etag:%22e28d-65a15bdb-d696941b14497968;gz%22	https://cutesolution.com/html/webtech/assets/css/animate.min.css	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/css/animate.min.css	(from https://cutesolution.com/html/webtech/index-2.html)
18:44:56	3067/3067	---M-Z	200	added ('OK')	text/css	etag:%22bfb-65a15bdb-dad8e2583a3202bc;gz%22	https://cutesolution.com/html/webtech/assets/css/flaticon.css	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/css/flaticon.css	(from https://cutesolution.com/html/webtech/index-2.html)
18:44:56	55073/55073	---M-Z	200	added ('OK')	text/css	etag:%22d721-65a15bdb-11fe90fa893e5031;gz%22	https://cutesolution.com/html/webtech/assets/css/fontawesome.min.css	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/css/fontawesome.min.css	(from https://cutesolution.com/html/webtech/index-2.html)
18:44:57	3176/3176	---M-Z	200	added ('OK')	text/css	etag:%22c68-65a15bdb-fdd60401851ad537;gz%22	https://cutesolution.com/html/webtech/assets/css/meanmenu.css	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/css/meanmenu.css	(from https://cutesolution.com/html/webtech/index-2.html)
18:44:58	13666/13666	---M-Z	200	added ('OK')	text/css	etag:%223562-65a15bdb-61bb319590cbe47d;gz%22	https://cutesolution.com/html/webtech/assets/css/swiper.min.css	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/css/swiper.min.css	(from https://cutesolution.com/html/webtech/index-2.html)
18:44:58	4207/4207	---M-Z	200	added ('OK')	text/css	etag:%22106f-65a15bdb-2cc548e35cbef884;gz%22	https://cutesolution.com/html/webtech/assets/css/owl.carousel.min.css	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/css/owl.carousel.min.css	(from https://cutesolution.com/html/webtech/index-2.html)
18:44:58	100844/100844	---M-Z	200	added ('OK')	text/css	etag:%22189ec-65a15bdb-9025e5ec94542c16;gz%22	https://cutesolution.com/html/webtech/assets/css/style.css	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/css/style.css	(from https://cutesolution.com/html/webtech/index-2.html)
18:44:58	15910/15910	---M-Z	200	added ('OK')	text/css	etag:%223e26-65a15bdb-212b314e6321a12;gz%22	https://cutesolution.com/html/webtech/assets/css/responsive.css	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/css/responsive.css	(from https://cutesolution.com/html/webtech/index-2.html)
18:44:59	48115/48115	---M-Z	200	added ('OK')	text/html	etag:%22bbf3-65a15bdb-ed462a4f75fce3b2;gz%22	https://cutesolution.com/html/webtech/index.html	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/index.html	(from https://cutesolution.com/html/webtech/index-2.html)
18:44:59	4087/4087	---M--	200	added ('OK')	image/png	etag:%22ff7-65a15bdb-f86a0185b1a3605f;;;%22	https://cutesolution.com/html/webtech/assets/img/logo.png	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/img/logo.png	(from https://cutesolution.com/html/webtech/index-2.html)
18:44:59	4159/4159	---M--	200	added ('OK')	image/png	etag:%22103f-65a15bdb-b14d761cab6589b8;;;%22	https://cutesolution.com/html/webtech/assets/img/logo-black.png	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/img/logo-black.png	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:00	47021/47021	---M-Z	200	added ('OK')	text/html	etag:%22b7ad-65a15bdb-4b214b37eb821fb1;gz%22	https://cutesolution.com/html/webtech/index-3.html	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/index-3.html	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:00	25330/25330	---M-Z	200	added ('OK')	text/html	etag:%2262f2-65a15bdb-47e74c6411e72970;gz%22	https://cutesolution.com/html/webtech/about.html	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/about.html	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:00	26953/26953	---M-Z	200	added ('OK')	text/html	etag:%226949-65a15bdb-7d9f86bf8d93f0ab;gz%22	https://cutesolution.com/html/webtech/services.html	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/services.html	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:01	16735/16735	---M-Z	200	added ('OK')	text/html	etag:%22415f-65a15bdb-835da45d8a87858b;gz%22	https://cutesolution.com/html/webtech/single-services.html	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/single-services.html	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:01	16729/16729	---M-Z	200	added ('OK')	text/html	etag:%224159-65a15bdb-13d6405b48b7ff33;gz%22	https://cutesolution.com/html/webtech/projects.html	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/projects.html	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:01	17240/17240	---M-Z	200	added ('OK')	text/html	etag:%224358-65a15bdb-608911f928599c7f;gz%22	https://cutesolution.com/html/webtech/single-projects.html	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/single-projects.html	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:01	18847/18847	---M-Z	200	added ('OK')	text/html	etag:%22499f-65a15bdb-b563973dedb86ba6;gz%22	https://cutesolution.com/html/webtech/team.html	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/team.html	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:02	16438/16438	---M-Z	200	added ('OK')	text/html	etag:%224036-65a15bdb-3cb4e8a972a3d58e;gz%22	https://cutesolution.com/html/webtech/pricing.html	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/pricing.html	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:02	2917/2917	---M-Z	200	added ('OK')	text/html	etag:%22b65-65a15bdb-3c75944e4bf3e436;gz%22	https://cutesolution.com/html/webtech/error-404.html	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/error-404.html	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:03	18170/18170	---M-Z	200	added ('OK')	text/html	etag:%2246fa-65a15bdb-b5a0171fdbca6cee;gz%22	https://cutesolution.com/html/webtech/faq.html	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/faq.html	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:03	3684/3684	---M-Z	200	added ('OK')	text/html	etag:%22e64-65a15bdb-151ebc2f8d7240c2;gz%22	https://cutesolution.com/html/webtech/coming-soon.html	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/coming-soon.html	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:03	18803/18803	---M-Z	200	added ('OK')	text/html	etag:%224973-65a15bdb-9857781b1f8279e0;gz%22	https://cutesolution.com/html/webtech/terms-condition.html	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/terms-condition.html	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:04	18604/18604	---M-Z	200	added ('OK')	text/html	etag:%2248ac-65a15bdb-db5c51dd888672e2;gz%22	https://cutesolution.com/html/webtech/privacy-policy.html	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/privacy-policy.html	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:05	20647/20647	---M-Z	200	added ('OK')	text/html	etag:%2250a7-65a15bdb-c20186415a384366;gz%22	https://cutesolution.com/html/webtech/blog-1.html	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/blog-1.html	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:05	24510/24510	---M-Z	200	added ('OK')	text/html	etag:%225fbe-65a15bdb-8666a7aeeb8273f1;gz%22	https://cutesolution.com/html/webtech/blog-2.html	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/blog-2.html	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:06	24955/24955	---M-Z	200	added ('OK')	text/html	etag:%22617b-65a15bdb-cef6d9c6f4f04678;gz%22	https://cutesolution.com/html/webtech/single-blog.html	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/single-blog.html	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:07	17823/17823	---M-Z	200	added ('OK')	text/html	etag:%22459f-65a15bdb-c070a0668e7f0a1e;gz%22	https://cutesolution.com/html/webtech/contact.html	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/contact.html	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:08	44463/44463	---M--	200	added ('OK')	image/jpeg	etag:%22adaf-65a15bdb-cb7dc8ed2b644012;;;%22	https://cutesolution.com/html/webtech/assets/img/process/tab-process-1.jpg	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/img/process/tab-process-1.jpg	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:08	96846/96846	---M--	200	added ('OK')	image/jpeg	etag:%2217a4e-65a15bdb-b44da6c95ef004a6;;;%22	https://cutesolution.com/html/webtech/assets/img/about.jpg	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/img/about.jpg	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:09	29414/29414	---M--	200	added ('OK')	image/jpeg	etag:%2272e6-65a15bdb-b3ff378693927502;;;%22	https://cutesolution.com/html/webtech/assets/img/process/tab-process-2.jpg	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/img/process/tab-process-2.jpg	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:09	29427/29427	---M--	200	added ('OK')	image/jpeg	etag:%2272f3-65a15bdb-c287d3cfe018d8af;;;%22	https://cutesolution.com/html/webtech/assets/img/process/tab-process-3.jpg	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/img/process/tab-process-3.jpg	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:09	30372/30372	---M--	200	added ('OK')	image/jpeg	etag:%2276a4-65a15bdb-34fe028bfc96f964;;;%22	https://cutesolution.com/html/webtech/assets/img/process/tab-process-4.jpg	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/img/process/tab-process-4.jpg	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:09	17535/17535	---M--	200	added ('OK')	image/jpeg	etag:%22447f-65a15bdb-26a5fdd770c299d2;;;%22	https://cutesolution.com/html/webtech/assets/img/portfolio/portfolio-1.jpg	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/img/portfolio/portfolio-1.jpg	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:09	69223/69223	---M--	200	added ('OK')	image/jpeg	etag:%2210e67-65a15bdb-bc9882ac5080b537;;;%22	https://cutesolution.com/html/webtech/assets/img/choose-1.jpg	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/img/choose-1.jpg	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:10	19888/19888	---M--	200	added ('OK')	image/jpeg	etag:%224db0-65a15bdb-f84a12565f34403c;;;%22	https://cutesolution.com/html/webtech/assets/img/portfolio/portfolio-2.jpg	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/img/portfolio/portfolio-2.jpg	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:10	45643/45643	---M--	200	added ('OK')	image/jpeg	etag:%22b24b-65a15bdb-64edfc31ad52c335;;;%22	https://cutesolution.com/html/webtech/assets/img/portfolio/portfolio-3.jpg	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/img/portfolio/portfolio-3.jpg	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:10	25629/25629	---M--	200	added ('OK')	image/jpeg	etag:%22641d-65a15bdb-f350596ad42f57db;;;%22	https://cutesolution.com/html/webtech/assets/img/portfolio/portfolio-4.jpg	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/img/portfolio/portfolio-4.jpg	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:10	27624/27624	---M--	200	added ('OK')	image/jpeg	etag:%226be8-65a15bdb-23c96e8807adbdb7;;;%22	https://cutesolution.com/html/webtech/assets/img/portfolio/portfolio-5.jpg	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/img/portfolio/portfolio-5.jpg	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:11	19100/19100	---M--	200	added ('OK')	image/jpeg	etag:%224a9c-65a15bdb-df766e4c7bc31afb;;;%22	https://cutesolution.com/html/webtech/assets/img/portfolio/portfolio-6.jpg	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/img/portfolio/portfolio-6.jpg	(from https://cutesolution.com/html/webtech/index-2.html)
18:45:11	6675/6675	---M--	200	added ('OK')	image/jpeg	etag:%221a13-65a15bdb-51756179566ce4f7;;;%22	https://cutesolution.com/html/webtech/assets/img/client/testimonial-1.jpg	C:/Users/91638/Desktop/fin/cutesolution.com/html/webtech/assets/img/client/testimonial-1.jpg	(from https://cutesolution.com/html/webtech/index-2.html)
